Player,Squad,Liga,Season,PSxG,PSxG/SoT,PSxG+/-,Launch%,Crosses_Opp,Crosses_stp%,#OPA
adrian,Betis,La-Liga,2024-2025,26.0,0.33,-1.0,0.28,257,0.054000000000000006,16
julen agirrezabala,Athletic Club,La-Liga,2024-2025,10.5,0.27,1.5,0.375,143,0.14,17
augusto batalla,Rayo Vallecano,La-Liga,2024-2025,40.0,0.25,2.0,0.423,453,0.077,38
dani cardenas,Rayo Vallecano,La-Liga,2024-2025,5.6,0.29,-0.4,0.568,79,0.025,1
jasper cillessen,Las Palmas,La-Liga,2024-2025,44.3,0.3,4.3,0.395,413,0.031,20
diego conde,Villarreal,La-Liga,2024-2025,26.3,0.26,-5.7,0.22699999999999998,323,0.055999999999999994,16
thibaut courtois,Real Madrid,La-Liga,2024-2025,28.7,0.27,0.7,0.185,350,0.046,14
stole dimitrievski,Valencia,La-Liga,2024-2025,4.5,0.29,-1.5,0.496,51,0.059000000000000004,16
marko dmitrovic,Leganés,La-Liga,2024-2025,50.2,0.3,3.2,0.653,579,0.085,53
aitor fernandez,Osasuna,La-Liga,2024-2025,1.2,0.23,1.2,0.706,14,0.071,1
alvaro fernandez,Sevilla,La-Liga,2024-2025,11.0,0.25,-5.0,0.397,105,0.067,14
andre ferreira,Valladolid,La-Liga,2024-2025,15.3,0.35,-4.7,0.37,92,0.043,3
fran,Real Madrid,La-Liga,2024-2025,0.9,0.43,-1.1,0.125,5,0.2,1
joan garcia,Espanyol,La-Liga,2024-2025,57.7,0.28,7.7,0.376,670,0.096,35
paulo gazzaniga,Girona,La-Liga,2024-2025,45.4,0.29,-4.6,0.21600000000000003,419,0.086,33
dominik greif,Mallorca,La-Liga,2024-2025,33.9,0.28,0.9,0.419,511,0.028999999999999998,21
vicente guaita,Celta Vigo,La-Liga,2024-2025,40.6,0.3,-7.4,0.184,436,0.06,44
sergio herrera,Osasuna,La-Liga,2024-2025,56.2,0.28,5.2,0.43200000000000005,524,0.061,85
dinko horkas,Las Palmas,La-Liga,2024-2025,19.4,0.34,1.4,0.318,148,0.061,16
karl jakob hein,Valladolid,La-Liga,2024-2025,58.8,0.35,-8.2,0.326,474,0.07200000000000001,34
luiz lucio reis junior,Villarreal,La-Liga,2024-2025,18.1,0.23,0.1,0.319,256,0.063,20
pau lopez,Girona,La-Liga,2024-2025,1.3,0.44,-0.7,0.353,17,0.17600000000000002,1
andriy lunin,Real Madrid,La-Liga,2024-2025,6.4,0.32,-0.6,0.2,61,0.033,12
giorgi mamardashvili,Valencia,La-Liga,2024-2025,46.1,0.3,1.1,0.36,472,0.07,38
unai marrero,Real Sociedad,La-Liga,2024-2025,3.5,0.22,0.5,0.244,21,0.048,3
juan musso,Atlético Madrid,La-Liga,2024-2025,0.1,0.05,0.1,0.152,23,0.087,0
rjan nyland,Sevilla,La-Liga,2024-2025,37.1,0.31,-0.9,0.42100000000000004,408,0.049,29
jan oblak,Atlético Madrid,La-Liga,2024-2025,25.6,0.19,-2.4,0.243,488,0.057,28
jesus owono,Alavés,La-Liga,2024-2025,5.4,0.37,-1.6,0.556,66,0.091,2
alex padilla,Athletic Club,La-Liga,2024-2025,4.8,0.26,-0.2,0.5820000000000001,57,0.035,3
inaki pena,Barcelona,La-Liga,2024-2025,16.7,0.29,-1.3,0.10800000000000001,143,0.021,89
