Player,Squad,GA,SoTA,Save%,CS%,PKatt,P_Save%,Season,Competition
alisson,Liverpool,30,109,73.4,28.6,1,0.0,2023-2024,premierleague
alphonse areola,West Ham,53,188,74.5,12.9,7,28.6,2023-2024,premierleague
daniel bentley,Wolves,7,15,53.3,33.3,0,,2023-2024,premierleague
martin dubravka,Newcastle Utd,42,130,70.8,22.7,5,20.0,2023-2024,premierleague
ederson,Manchester City,27,82,70.7,30.3,3,0.0,2023-2024,premierleague
ukasz fabianski,West Ham,21,53,66.0,14.3,3,0.0,2023-2024,premierleague
mark flekken,Brentford,63,176,65.3,18.9,2,0.0,2023-2024,premierleague
wes foderingham,Sheffield Utd,79,204,63.7,3.4,6,0.0,2023-2024,premierleague
ivo grbic,Sheffield Utd,25,59,57.6,0.0,1,,2023-2024,premierleague
dean henderson,Crystal Palace,30,86,66.3,22.2,1,0.0,2023-2024,premierleague
sam johnstone,Crystal Palace,27,67,62.7,30.0,2,0.0,2023-2024,premierleague
thomas kaminski,Luton Town,85,221,63.3,5.3,4,0.0,2023-2024,premierleague
loris karius,Newcastle Utd,4,7,42.9,0.0,0,,2023-2024,premierleague
caoimhin kelleher,Liverpool,11,38,71.1,20.0,0,,2023-2024,premierleague
bernd leno,Fulham,61,190,72.1,26.3,8,0.0,2023-2024,premierleague
emiliano martinez,Aston Villa,48,139,66.2,23.5,1,0.0,2023-2024,premierleague
remi matthews,Crystal Palace,1,1,0.0,,0,,2023-2024,premierleague
arijanet muric,Burnley,16,78,80.8,0.0,2,50.0,2023-2024,premierleague
neto,Bournemouth,55,165,69.7,21.9,6,16.7,2023-2024,premierleague
robin olsen,Aston Villa,13,34,61.8,0.0,1,100.0,2023-2024,premierleague
andre onana,Manchester Utd,58,203,74.9,23.7,7,0.0,2023-2024,premierleague
stefan ortega,Manchester City,7,27,74.1,60.0,0,,2023-2024,premierleague
ore petrovic,Chelsea,38,108,65.7,22.7,2,0.0,2023-2024,premierleague
jordan pickford,Everton,51,165,73.9,34.2,8,0.0,2023-2024,premierleague
nick pope,Newcastle Utd,16,58,72.4,33.3,0,,2023-2024,premierleague
ionut radu,Bournemouth,7,11,36.4,0.0,0,,2023-2024,premierleague
aaron ramsdale,Arsenal,5,14,64.3,33.3,0,,2023-2024,premierleague
david raya,Arsenal,24,69,68.1,50.0,3,33.3,2023-2024,premierleague
jose sa,Wolves,58,188,73.4,11.4,8,0.0,2023-2024,premierleague
robert sanchez,Chelsea,25,78,70.5,18.8,3,33.3,2023-2024,premierleague
matz sels,Nott'ham Forest,27,61,57.4,6.3,1,0.0,2023-2024,premierleague
james shea,Luton Town,0,2,100.0,,0,,2023-2024,premierleague
jason steele,Brighton,34,74,58.1,11.8,3,0.0,2023-2024,premierleague
thomas strakosha,Brentford,2,8,75.0,0.0,0,,2023-2024,premierleague
james trafford,Burnley,62,166,65.7,7.1,5,0.0,2023-2024,premierleague
mark travers,Bournemouth,5,18,77.8,50.0,1,0.0,2023-2024,premierleague
matt turner,Nott'ham Forest,28,80,67.5,11.8,2,0.0,2023-2024,premierleague
bart verbruggen,Brighton,28,91,72.5,19.0,3,0.0,2023-2024,premierleague
guglielmo vicario,Tottenham,61,167,67.7,18.4,7,0.0,2023-2024,premierleague
odysseas vlachodimos,Nott'ham Forest,12,22,50.0,20.0,1,0.0,2023-2024,premierleague
